sample_name,haplotype,file_num,datatype,long_read_url
HG01952,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01952/analysis/aligned_reads/hifi/GRCh38/HG01952_aligned_GRCh38_winnowmap.sorted.bam
HG01978,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG01978/analysis/aligned_reads/hifi/GRCh38/HG01978_aligned_GRCh38_winnowmap.sorted.bam
HG02148,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG02148/analysis/aligned_reads/hifi/GRCh38/HG02148_aligned_GRCh38_winnowmap.sorted.bam
HG02257,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG02257/analysis/aligned_reads/hifi/GRCh38/HG02257_aligned_GRCh38_winnowmap.sorted.bam
HG02572,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG02572/analysis/aligned_reads/hifi/GRCh38/HG02572_aligned_GRCh38_winnowmap.sorted.bam
HG02622,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG02622/analysis/aligned_reads/hifi/GRCh38/HG02622_aligned_GRCh38_winnowmap.sorted.bam
HG02630,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG02630/analysis/aligned_reads/hifi/GRCh38/HG02630_aligned_GRCh38_winnowmap.sorted.bam
HG02717,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG02717/analysis/aligned_reads/hifi/GRCh38/HG02717_aligned_GRCh38_winnowmap.sorted.bam
HG02886,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG02886/analysis/aligned_reads/hifi/GRCh38/HG02886_aligned_GRCh38_winnowmap.sorted.bam
HG03453,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG03453/analysis/aligned_reads/hifi/GRCh38/HG03453_aligned_GRCh38_winnowmap.sorted.bam
HG03516,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG03516/analysis/aligned_reads/hifi/GRCh38/HG03516_aligned_GRCh38_winnowmap.sorted.bam
HG03540,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG03540/analysis/aligned_reads/hifi/GRCh38/HG03540_aligned_GRCh38_winnowmap.sorted.bam
HG03579,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC/HG03579/analysis/aligned_reads/hifi/GRCh38/HG03579_aligned_GRCh38_winnowmap.sorted.bam
HG00733,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG00733/analysis/aligned_reads/hifi/GRCh38/HG00733_aligned_GRCh38_winnowmap.sorted.bam
HG01109,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG01109/analysis/aligned_reads/hifi/GRCh38/HG01109_aligned_GRCh38_winnowmap.sorted.bam
HG01243,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG01243/analysis/aligned_reads/hifi/GRCh38/HG01243_aligned_GRCh38_winnowmap.sorted.bam
HG02055,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG02055/analysis/aligned_reads/hifi/GRCh38/HG02055_aligned_GRCh38_winnowmap.sorted.bam
HG02080,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG02080/analysis/aligned_reads/hifi/GRCh38/HG02080_aligned_GRCh38_winnowmap.sorted.bam
HG02145,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG02145/analysis/aligned_reads/hifi/GRCh38/HG02145_aligned_GRCh38_winnowmap.sorted.bam
HG02723,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG02723/analysis/aligned_reads/hifi/GRCh38/HG02723_aligned_GRCh38_winnowmap.sorted.bam
HG02818,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG02818/analysis/aligned_reads/hifi/GRCh38/HG02818_aligned_GRCh38_winnowmap.sorted.bam
HG02970,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG02970/analysis/aligned_reads/hifi/GRCh38/HG02970_aligned_GRCh38_winnowmap.sorted.bam
NA20129,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/NA20129/analysis/aligned_reads/hifi/GRCh38/NA20129_aligned_GRCh38_winnowmap.sorted.bam
NA19240,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/NA19240/analysis/aligned_reads/hifi/GRCh38/NA19240_aligned_GRCh38_winnowmap.sorted.bam
NA18906,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/NA18906/analysis/aligned_reads/hifi/GRCh38/NA18906_aligned_GRCh38_winnowmap.sorted.bam
HG03492,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG03492/analysis/aligned_reads/hifi/GRCh38/HG03492_aligned_GRCh38_winnowmap.sorted.bam
HG03486,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG03486/analysis/aligned_reads/hifi/GRCh38/HG03486_aligned_GRCh38_winnowmap.sorted.bam
HG03098,NA,1,HIFI,https://s3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix=working/HPRC_PLUS/HG03098/analysis/aligned_reads/hifi/GRCh38/HG03098_aligned_GRCh38_winnowmap.sorted.bam
HG002,NA,1,HIFI,https://downloads.pacbcloud.com/public/revio/2022Q4/HG002-rep1/analysis/HG002.m84011_220902_175841_s1.GRCh38.bam
HG003,NA,1,HIFI,https://downloads.pacbcloud.com/public/revio/2022Q4/HG003-rep1/analysis/HG003.m84010_220919_235306_s2.GRCh38.bam
HG004,NA,1,HIFI,https://downloads.pacbcloud.com/public/revio/2022Q4/HG004-rep1/analysis/HG004.m84010_220919_232145_s1.GRCh38.bam
